force, startX, endX, deltaX, deltaXDeg
0, 0, 0, 0, 0
200, 36, 36, 0, 0.000000
400, 36, 36, 0, 0.000000
600, 36, 36, 0, 0.000000
800, 36, 36, 0, 0.000000
1000, 36, 36, 0, 0.000000
1200, 36, 36, 0, 0.000000
1400, 36, 36, 0, 0.000000
1600, 36, 36, 0, 0.000000
1800, 36, 36, 0, 0.000000
2000, 36, 36, 0, 0.000000
2200, 36, 36, 0, 0.000000
2400, 36, 36, 0, 0.000000
2600, 36, 36, 0, 0.000000
2800, 36, 291, 255, 11.481414
3000, 324, 695, 371, 16.700237
3200, 442, 952, 510, 22.962828
3400, 372, 929, 557, 25.050358
3600, 375, 988, 613, 27.577366
3800, 349, 1087, 738, 33.180737
4000, 286, 1215, 929, 41.805531
4200, 204, 1190, 986, 44.387474
4400, 178, 1333, 1155, 51.968502
4600, 84, 1353, 1269, 57.077457
4800, 56, 1544, 1488, 66.965759
5000, -54, 1553, 1607, 72.349388
5200, -62, 1563, 1625, 73.173409
5400, -67, 1670, 1737, 78.227432
5600, -128, 1629, 1757, 79.106392
5800, -114, 1704, 1818, 81.853142
6000, -145, 1699, 1844, 83.061707
6200, -149, 1746, 1895, 85.314049
6400, -176, 1824, 2000, 90.038452
6600, -195, 1812, 2007, 90.368065
6800, -192, 1847, 2039, 91.796371
7000, -202, 1815, 2017, 90.807541
7200, -183, 1951, 2134, 96.081306
7400, -184, 1928, 2112, 95.092476
7600, -184, 2016, 2200, 99.047791
7800, -183, 1977, 2160, 97.234940
8000, 82, 2334, 2252, 101.355064
8200, -189, 2016, 2205, 99.267532
8400, -193, 2140, 2333, 105.035706
8600, -199, 2071, 2270, 102.179085
8800, -202, 2064, 2266, 102.014282
9000, -195, 2198, 2393, 107.727524
9200, -198, 2149, 2347, 105.639992
9400, -198, 2218, 2416, 108.771286
9600, -202, 2178, 2380, 107.123238
9800, -199, 2284, 2483, 111.792709
10000, -198, 2252, 2450, 110.309464
